Wavenumber (cm^-1),Transmittance (%)
1112.780000,79.978370
1114.709000,75.763477
1116.637000,68.787021
1118.566000,61.322126
1120.495000,60.725724
1122.423000,68.548002
1124.352000,76.983048
1126.280000,81.874374
1128.209000,84.396170
1130.137000,85.938959
1132.066000,87.027068
1133.995000,87.710628
1135.923000,88.078764
1137.852000,88.146055
1139.780000,87.941788
1141.709000,87.415112
1143.637000,86.903639
1145.566000,86.892918
1147.494000,87.303855
1149.423000,87.468984
1151.352000,87.150449
1153.280000,86.096378
1155.209000,84.245470
1157.137000,83.064530
1159.066000,84.246565
1160.994000,85.749329
1162.923000,86.133747
1164.851000,85.192360
1166.780000,81.664532
1168.709000,75.135953
1170.637000,73.657606
1172.566000,80.142960
1174.494000,85.368223
1176.423000,87.201906
1178.351000,87.697162
1180.280000,87.672379
1182.208000,87.421584
1184.137000,87.361292
1186.066000,87.841829
1187.994000,88.866126
1189.923000,89.717034
1191.851000,90.188159
1193.780000,90.436328
1195.708000,90.575006
1197.637000,90.636626
1199.566000,90.669945
1201.494000,90.712887
1203.423000,90.779783
1205.351000,90.875196
1207.280000,90.965079
1209.208000,90.999298
1211.137000,90.868632
1213.066000,90.470625
1214.994000,89.527057
1216.923000,87.366173
1218.851000,84.111493
1220.780000,82.980504
1222.708000,84.810390
1224.637000,87.043188
1226.565000,88.897807
1228.494000,90.059753
1230.423000,90.654701
1232.351000,90.979199
1234.280000,91.165544
1236.208000,91.122906
1238.137000,90.914690
1240.065000,90.634347
1241.994000,90.389137
1243.922000,90.171962
1245.851000,89.948043
1247.780000,89.592144
1249.708000,89.412420
1251.637000,89.950556
1253.565000,90.820379
1255.494000,91.348132
1257.422000,91.555608
1259.351000,91.578758
1261.280000,91.474116
1263.208000,91.234341
1265.137000,91.007790
1267.065000,91.012688
1268.994000,91.151955
1270.922000,91.184771
1272.851000,91.121286
1274.779000,91.014331
1276.708000,90.923264
1278.637000,90.851246
1280.565000,90.790360
1282.494000,90.701475
1284.422000,90.542716
1286.351000,90.228841
1288.279000,89.743411
1290.208000,89.388955
1292.137000,89.507169
1294.065000,89.832222
1295.994000,90.060580
1297.922000,90.155231
1299.851000,90.145871
1301.779000,90.041576
1303.708000,89.858205
1305.636000,89.663319
1307.565000,89.562288
1309.494000,89.518870
1311.422000,89.446772
1313.351000,89.327229
1315.279000,89.158974
1317.208000,88.937703
1319.136000,88.668563
1321.065000,88.387496
1322.994000,88.188730
1324.922000,88.089714
1326.851000,88.030131
1328.779000,87.938297
1330.708000,87.767616
1332.636000,87.513123
1334.565000,87.245639
1336.493000,87.031063
1338.422000,86.835146
1340.351000,86.563518
1342.279000,86.226776
1344.208000,85.883396
1346.136000,85.519458
1348.065000,85.107358
1349.993000,84.645189
1351.922000,84.142145
1353.850000,83.617131
1355.779000,83.042929
1357.708000,82.368053
1359.636000,81.544509
1361.565000,80.498891
1363.493000,79.140903
1365.422000,77.523327
1367.350000,75.623383
1369.279000,72.704200
1371.208000,67.655234
1373.136000,60.771464
1375.065000,54.718502
1376.993000,52.119699
1378.922000,52.790199
1380.850000,54.116039
1382.779000,54.394965
1384.708000,56.373240
1386.636000,61.615333
1388.565000,66.772141
1390.493000,69.788731
1392.422000,71.290293
1394.350000,72.025420
1396.279000,72.252437
1398.207000,72.225624
1400.136000,71.986805
1402.065000,71.540373
1403.993000,70.938091
1405.922000,70.190801
1407.850000,69.456149
1409.779000,68.880993
1411.707000,68.321375
1413.636000,67.542029
1415.564000,66.402404
1417.493000,65.010065
1419.422000,63.542076
1421.350000,62.226919
1423.279000,61.262498
1425.207000,60.286837
1427.136000,58.923577
1429.064000,57.042914
1430.993000,54.710099
1432.922000,52.143491
1434.850000,49.321514
1436.779000,45.930059
1438.707000,42.135194
1440.636000,38.726977
1442.564000,36.291590
1444.493000,34.851719
1446.422000,33.769435
1448.350000,32.388863
1450.279000,30.380436
1452.207000,27.818628
1454.136000,25.600798
1456.064000,24.935346
1457.993000,25.690278
1459.921000,26.327335
1461.850000,25.668116
1463.779000,23.481444
1465.707000,21.359599
1467.636000,22.447527
1469.564000,27.210492
1471.493000,32.392249
1473.421000,35.510755
1475.350000,36.428258
1477.278000,36.159482
1479.207000,35.628497
1481.136000,35.682683
1483.064000,36.331196
1484.993000,36.452994
1486.921000,34.631133
1488.850000,30.511545
1490.778000,25.030631
1492.707000,20.160022
1494.635000,18.106366
1496.564000,19.702312
1498.493000,24.455503
1500.421000,32.286272
1502.350000,40.897268
1504.278000,47.031616
1506.207000,49.644793
1508.135000,48.849767
1510.064000,45.425979
1511.993000,39.175153
1513.921000,28.916785
1515.850000,20.491686
1517.778000,24.754787
1519.707000,39.344896
1521.635000,52.642560
1523.564000,60.376189
1525.493000,64.727868
1527.421000,67.332308
1529.350000,68.895919
1531.278000,69.905509
1533.207000,70.502010
1535.135000,70.755304
1537.064000,71.357479
1538.992000,72.570080
1540.921000,73.638647
1542.850000,74.454131
1544.778000,75.229937
1546.707000,75.927902
1548.635000,76.577820
1550.564000,77.179809
1552.492000,77.738919
1554.421000,78.298114
1556.349000,78.836167
1558.278000,79.501591
1560.207000,79.718084
1562.135000,79.664097
1564.064000,79.748560
1565.992000,79.867246
1567.921000,80.043481
1569.849000,80.206325
1571.778000,80.115742
1573.707000,79.997147
1575.635000,79.674917
1577.564000,78.679230
1579.492000,77.255267
1581.421000,75.869426
1583.349000,74.840917
1585.278000,73.918799
1587.207000,71.729334
1589.135000,67.495870
1591.064000,63.198795
