# Frequency, Signal
-4.765953190638127808e+02,4.632885526012849351e-05
-4.763952790558111587e+02,4.643574999396582204e-05
-4.761952390478095367e+02,4.654296971651057072e-05
-4.759951990398079715e+02,4.665051566775463369e-05
-4.757951590318063495e+02,4.675838909341950025e-05
-4.755951190238047843e+02,4.686659124498720878e-05
-4.753950790158031623e+02,4.697512337973189028e-05
-4.751950390078015403e+02,4.708398676075136607e-05
-4.749949989997999751e+02,4.719318265699884717e-05
-4.747949589917983531e+02,4.730271234331502665e-05
-4.745949189837967879e+02,4.741257710046019238e-05
-4.743948789757951658e+02,4.752277821514674629e-05
-4.741948389677935438e+02,4.763331698007163559e-05
-4.739947989597919786e+02,4.774419469394923797e-05
-4.737947589517903566e+02,4.785541266154449074e-05
-4.735947189437887346e+02,4.796697219370593191e-05
-4.733946789357871694e+02,4.807887460739918169e-05
-4.731946389277855474e+02,4.819112122574074929e-05
-4.729945989197839822e+02,4.830371337803160252e-05
-4.727945589117823602e+02,4.841665239979159796e-05
-4.725945189037807381e+02,4.852993963279341654e-05
-4.723944788957791729e+02,4.864357642509727151e-05
-4.721944388877775509e+02,4.875756413108574527e-05
-4.719943988797759289e+02,4.887190411149843633e-05
-4.717943588717743637e+02,4.898659773346731791e-05
-4.715943188637727417e+02,4.910164637055227266e-05
-4.713942788557711765e+02,4.921705140277638342e-05
-4.711942388477695545e+02,4.933281421666209138e-05
-4.709941988397679324e+02,4.944893620526711703e-05
-4.707941588317663673e+02,4.956541876822074708e-05
-4.705941188237647452e+02,4.968226331176060247e-05
-4.703940788157631232e+02,4.979947124876912172e-05
-4.701940388077615580e+02,4.991704399881074236e-05
-4.699939987997599360e+02,5.003498298816923810e-05
-4.697939587917583708e+02,5.015328964988501536e-05
-4.695939187837567488e+02,5.027196542379297912e-05
-4.693938787757551268e+02,5.039101175656049344e-05
-4.691938387677535616e+02,5.051043010172553868e-05
-4.689937987597519395e+02,5.063022191973533617e-05
-4.687937587517503744e+02,5.075038867798485094e-05
-4.685937187437487523e+02,5.087093185085603307e-05
-4.683936787357471303e+02,5.099185291975676088e-05
-4.681936387277455651e+02,5.111315337316048204e-05
-4.679935987197439431e+02,5.123483470664594964e-05
-4.677935587117423211e+02,5.135689842293714109e-05
-4.675935187037407559e+02,5.147934603194355662e-05
-4.673934786957391339e+02,5.160217905080077518e-05
-4.671934386877375687e+02,5.172539900391103071e-05
-4.669933986797359466e+02,5.184900742298460835e-05
-4.667933586717343246e+02,5.197300584708078661e-05
