# HCl spectrum
# xmin= 2650 cm^-1
# xmax= 3100 cm^-1

Wavenumber, Absorbance
2708.12, 0.0236
2708.25, 0.0235
2708.38, 0.0234
2708.5, 0.0233
2708.62, 0.0234
2708.75, 0.0238
2708.88, 0.0241
2709, 0.0238
2709.12, 0.0233
2709.25, 0.023
2709.38, 0.0232
2709.5, 0.0234
2709.62, 0.0231
2709.75, 0.0229
2709.88, 0.0232
2710, 0.0239
2710.12, 0.0245
2710.25, 0.0245
2710.38, 0.0242
2710.5, 0.024
2710.62, 0.0238
2710.75, 0.0238
2710.88, 0.0238
2711, 0.0236
2711.12, 0.023
2711.25, 0.0223
2711.38, 0.0222
2711.5, 0.0229
2711.62, 0.0237
2711.75, 0.024
2711.88, 0.0236
2712, 0.0231
2712.12, 0.023
2712.25, 0.0231
2712.38, 0.0232
2712.5, 0.0232
2712.62, 0.0232
2712.75, 0.0235
2712.88, 0.0237
2713, 0.0239
2713.12, 0.0237
2713.25, 0.0236
2713.38, 0.0239
2713.5, 0.0243
2713.62, 0.0245
2713.75, 0.0244
2713.88, 0.0242
2714, 0.0242
2714.12, 0.0242
2714.25, 0.0242
2714.38, 0.0241
2714.5, 0.0238
2714.62, 0.0235
2714.75, 0.0235
2714.88, 0.0238
2715, 0.0241
2715.12, 0.0239
2715.25, 0.0231
2715.38, 0.0224
2715.5, 0.0224
2715.62, 0.023
2715.75, 0.0235
2715.88, 0.0234
2716, 0.0231
2716.12, 0.023
2716.25, 0.0234
2716.38, 0.0238
2716.5, 0.0236
2716.62, 0.023
2716.75, 0.0227
2716.88, 0.0234
2717, 0.0245
2717.12, 0.0249
2717.25, 0.0243
2717.38, 0.0234
2717.5, 0.0231
2717.62, 0.0233
2717.75, 0.0237
2717.88, 0.0238
2718, 0.0239
2718.12, 0.024
2718.25, 0.024
2718.38, 0.024
2718.5, 0.0237
2718.62, 0.023
2718.75, 0.0221
2718.88, 0.0218
2719, 0.0223
2719.12, 0.0231
2719.25, 0.0233
2719.38, 0.0229
2719.5, 0.0228
2719.62, 0.0234
2719.75, 0.0241
2719.88, 0.0242
2720, 0.0234
2720.12, 0.0223
2720.25, 0.0219
2720.38, 0.0223
2720.5, 0.0231
2720.62, 0.0233
2720.75, 0.0227
2720.88, 0.0222
2721, 0.0224
2721.12, 0.0231
2721.25, 0.0234
2721.38, 0.0232
2721.5, 0.0229
2721.62, 0.0231
2721.75, 0.0233
2721.88, 0.023
2722, 0.0223
2722.12, 0.0219
2722.25, 0.0224
2722.38, 0.0235
2722.5, 0.0244
2722.62, 0.0244
2722.75, 0.0235
2722.88, 0.0229
2723, 0.023
2723.12, 0.0236
2723.25, 0.0238
2723.38, 0.0231
2723.5, 0.0224
2723.62, 0.0225
2723.75, 0.0232
2723.88, 0.0238
2724, 0.0238
2724.12, 0.0234
2724.25, 0.023
2724.38, 0.023
2724.5, 0.0235
2724.62, 0.0239
2724.75, 0.0236
2724.88, 0.0228
2725, 0.0226
2725.12, 0.0232
2725.25, 0.0239
2725.38, 0.0239
2725.5, 0.0241
2725.62, 0.0262
2725.75, 0.0304
2725.88, 0.0345
2726, 0.0353
2726.12, 0.0322
2726.25, 0.0273
2726.38, 0.0239
2726.5, 0.0232
2726.62, 0.0238
2726.75, 0.0239
2726.88, 0.0233
2727, 0.0233
2727.12, 0.0242
2727.25, 0.0256
2727.38, 0.0287
2727.5, 0.036
2727.62, 0.0479
2727.75, 0.0585
